,id,total_ratings,popularity,median_property_price,total_stops,compoetitiveness,entropy
178,3fd66200f964a520a0ea1ee3,0,UNPOPULAR,970000.0,19,-0.020833333333333332,1.4961719156756375
24,5e651b3a07d6d800089c9106,13,HIGHLY POPULAR,2279279.0,27,-0.11290322580645161,1.4669124141669214
117,4bb399a7a32876b0cff001fe,0,NEUTRAL,1200000.0,22,0.0,0.3010299956639812
27,5abc33ccad17896edaca3d61,256,HIGHLY POPULAR,2279279.0,28,-0.07272727272727272,1.398795600776242
181,5713fce5498e79efe9c07b9a,0,UNPOPULAR,831666.6666666666,19,-0.25,0.6020599913279624
19,5a8c60ef91eaca3c3c812ce6,69,HIGHLY POPULAR,1225401.0623052958,80,-0.07547169811320754,1.4885081830052154
88,50c0c1a7e4b0f8e3c7d1148a,0,POPULAR,449000.0,20,-0.037037037037037035,1.3337532550176943
133,4e449f08ae605a14b7e9ae94,0,NEUTRAL,831666.6666666666,30,-0.022727272727272728,1.5099747791007845
71,5303fc3c11d250deaaf46b56,10,POPULAR,630000.0,13,-0.058823529411764705,1.3831341019797039
52,5aad8d748b98fd3a0678d66c,17,POPULAR,2227931.0,39,-0.05747126436781609,1.5924252149235743
201,4c75d5aadb52b1f7a2117adc,0,HIGHLY UNPOPULAR,437500.0,6,-0.07142857142857142,1.5031606305853584
95,4e4e4c35bd4101d0d7a71fa0,0,POPULAR,1200000.0,80,-0.10416666666666667,1.4186282947759883
1,57f5241d498e3b45c81d6194,70,HIGHLY POPULAR,1225401.0623052958,28,-0.12,1.2111837085799633
210,4f32b1c219836c91c7f095f1,0,HIGHLY UNPOPULAR,2279279.0,26,-0.07228915662650602,1.4781783629452296
91,4ada568af964a520852121e3,10,POPULAR,2279279.0,29,-0.03225806451612903,1.581137699483845
10,50bcb93ae4b0efcb4c84d434,2619,HIGHLY POPULAR,1225401.0623052958,48,-0.14285714285714285,1.0589681624878695
48,4f3252c519836c91c7cc7112,0,HIGHLY POPULAR,1225401.0623052958,20,0.0,1.301610410059564
66,4e4cd4f2bd413c4cc66c8490,0,POPULAR,831666.6666666666,22,-0.022222222222222223,1.4876133209433753
76,5b90082123a2e6002c466aca,0,POPULAR,630000.0,15,-0.05128205128205128,1.3845511796222285
21,518cdec7498e5f4608efd45f,33,HIGHLY POPULAR,1225401.0623052958,28,0.0,1.3089971309821038
169,5270399211d218703bf55f83,26,UNPOPULAR,485000.0,36,-0.041666666666666664,1.29548525189965
190,4be727362468c928ca290243,0,UNPOPULAR,485000.0,28,-0.030303030303030304,1.37256000258626
36,49cea26cf964a520665a1fe3,384,HIGHLY POPULAR,2227931.0,19,-0.07865168539325842,1.5489303011658542
161,580142e238fa217aefab193e,21,UNPOPULAR,449000.0,25,-0.037037037037037035,1.526023482441716
75,3fd66200f964a520a3ea1ee3,0,POPULAR,2279279.0,23,-0.03225806451612903,1.4093365891213443
62,4f3236e319836c91c7c16b32,0,POPULAR,1225401.0623052958,25,-0.02564102564102564,1.4500848307410412
167,5a1885a0a22db72597b6332c,0,UNPOPULAR,1244406.0,20,-0.017241379310344827,1.5583654522140162
119,4e4e4c88bd4101d0d7a72642,0,NEUTRAL,970000.0,27,-0.017857142857142856,1.5639971126176904
15,5be9fc8575eee4002c71e650,34,HIGHLY POPULAR,2227931.0,12,-0.06329113924050633,1.5137373761149426
116,5221397711d2b99032f9e6fd,0,NEUTRAL,1200000.0,85,-0.06,1.545385855157186
196,4e17a0ebaeb7eb0120c371dc,0,UNPOPULAR,1225401.0623052958,18,0.0,0.9451054244126187
237,4ae5afa0f964a52076a121e3,93,HIGHLY UNPOPULAR,2279279.0,19,-0.05970149253731343,1.4345766312701347
156,4e4916b214959d51c1847d0d,0,UNPOPULAR,1225401.0623052958,21,-0.030303030303030304,1.3587876521921352
122,4d0e6159bf0c8eec2188282a,0,NEUTRAL,2279279.0,26,-0.06666666666666667,1.5126987142586996
228,4b9c3bc7f964a5206d5736e3,0,HIGHLY UNPOPULAR,2227931.0,19,-0.07608695652173914,1.563951862495296
97,4b5a5146f964a520bdbc28e3,9,POPULAR,2279279.0,30,-0.07792207792207792,1.461744426962844
118,4ab53d35f964a5207f7320e3,0,NEUTRAL,2227931.0,31,-0.06451612903225806,1.5407129224275287
98,5521d352498eb4cd79c96fb3,0,POPULAR,449000.0,16,-0.02702702702702703,1.4318848669824886
180,4cbf65c8b6c4224bd0dbf294,0,UNPOPULAR,1200000.0,75,-0.04878048780487805,1.3703478812092071
154,5b931ab6603d2a002c2fe290,0,UNPOPULAR,485000.0,28,-0.05555555555555555,1.1883769505113104
63,56af96a9498efacbed8c6b09,0,POPULAR,449000.0,17,-0.041666666666666664,1.521257748647636
138,4e4cd044bd413c4cc66c5da7,0,NEUTRAL,1225401.0623052958,31,-0.03333333333333333,1.3968465892092674
238,4f3235dc19836c91c7c107fa,0,HIGHLY UNPOPULAR,831666.6666666666,33,-0.022727272727272728,1.4363942395975366
147,54ef6f6d498e47c1606c63fd,153,NEUTRAL,2227931.0,26,-0.06097560975609756,1.5324223743595315
80,58ea88220319b80a65642c3d,0,POPULAR,1225401.0623052958,15,0.0,0.9319272321895046
25,5f14d58fc727ad66b2152f20,0,HIGHLY POPULAR,1225401.0623052958,10,-0.05555555555555555,1.5441137824630653
112,4e42c48218a8f06e90d18b11,0,NEUTRAL,485000.0,33,-0.058823529411764705,1.1596183341632196
137,5352e836498e6ad33a47ac61,28,NEUTRAL,1225401.0623052958,18,-0.08333333333333333,1.4632774116656202
149,4c8bcc26f87e224bf1bc2e05,0,NEUTRAL,630000.0,9,-0.03225806451612903,1.4136765336629222
28,54ab15df498ee7d7723bca15,160,HIGHLY POPULAR,2279279.0,11,-0.08888888888888889,1.490892708239416
176,4bce2f65fb84c9b69a62233e,0,UNPOPULAR,449000.0,26,-0.02040816326530612,1.4796921778702168
31,4b41102bf964a52055c025e3,596,HIGHLY POPULAR,942500.0,9,-0.05555555555555555,1.563557898519325
231,4c82d021dc018cfabe5bd36c,0,HIGHLY UNPOPULAR,485000.0,30,-0.09523809523809523,1.23621072454421
150,4cb65551e262b60cc1616ee0,0,UNPOPULAR,437500.0,31,-0.045454545454545456,1.260323591095666
224,51781bb2e4b03789cbc910b1,0,HIGHLY UNPOPULAR,630000.0,12,0.0,1.2813536718877363
114,558a03b5498eaa58d8dc5014,51,NEUTRAL,2279279.0,30,-0.06756756756756757,1.430848170980535
32,4a75cfdff964a52056e11fe3,129,HIGHLY POPULAR,2279279.0,27,-0.029850746268656716,1.4886804557638007
121,4b79a468f964a520c5072fe3,0,NEUTRAL,2279279.0,24,-0.041666666666666664,1.4332850126210128
132,5006ec6ae4b00dc76c51b4b6,0,NEUTRAL,2279279.0,27,-0.06578947368421052,1.537388970353675
